Country,GDP,Life Expectancy,Tertiary Enrollment,CO2 Emissions,Population,Infant Mortality,Physicians Per Thousand
Pakistan,304400000000.0,67.1,9.0,201150.0,216565318.0,57.2,0.98
Palau,283994900.0,69.1,54.7,224.0,18233.0,16.6,1.18
Panama,66800800000.0,78.3,47.8,10715.0,4246439.0,13.1,1.57
Papua New Guinea,24969611435.0,64.3,1.8,7536.0,8776109.0,38.0,0.07
Paraguay,38145288940.0,74.1,34.6,7407.0,7044636.0,17.2,1.35
Peru,226848050820.0,76.5,70.7,57414.0,32510453.0,11.1,1.27
Philippines,376795508680.0,71.1,35.5,122287.0,108116615.0,22.5,0.6
Poland,592164400688.0,77.6,67.8,299037.0,37970874.0,3.8,2.38
Portugal,237686075635.0,81.3,63.9,48742.0,10269417.0,3.1,5.12
Qatar,183466208791.0,80.1,17.9,103259.0,2832067.0,5.8,2.49
Romania,250077444017.0,75.4,49.4,69259.0,19356544.0,6.1,2.98
Russia,1699876578871.0,72.7,81.9,1732027.0,144373535.0,6.1,4.01
Rwanda,10122472590.0,68.7,6.7,1115.0,12626950.0,27.0,0.13
Saint Kitts and Nevis,1050992593.0,71.3,86.7,238.0,52823.0,9.8,2.52
Saint Lucia,2122450630.0,76.1,14.1,414.0,182790.0,14.9,0.64
Saint Vincent and the Grenadines,825385185.0,72.4,23.7,220.0,100455.0,14.8,0.66
Samoa,850655017.0,73.2,7.6,246.0,202506.0,13.6,0.34
San Marino,1637931034.0,85.4,42.5,,33860.0,1.7,6.11
S�����������,429016605.0,70.2,13.4,121.0,215056.0,24.4,0.05
Saudi Arabia,792966838162.0,75.0,68.0,563449.0,34268528.0,6.0,2.61
Senegal,23578084052.0,67.7,12.8,10902.0,16296364.0,31.8,0.07
Serbia,51409167351.0,75.5,67.2,45221.0,6944975.0,4.8,3.11
Seychelles,1698843063.0,72.8,17.1,605.0,97625.0,12.4,0.95
Sierra Leone,3941474311.0,54.3,2.0,1093.0,7813215.0,78.5,0.03
Singapore,372062527489.0,83.1,84.8,37535.0,5703569.0,2.3,2.29
Slovakia,105422304976.0,77.2,46.6,32424.0,5454073.0,4.6,3.42
Slovenia,53742159517.0,81.0,78.6,12633.0,2087946.0,1.7,3.09
Solomon Islands,1425074226.0,72.8,,169.0,669823.0,17.1,0.19
Somalia,4720727278.0,57.1,2.5,645.0,15442905.0,76.6,0.02
South Africa,351431649241.0,63.9,22.4,476644.0,58558270.0,28.5,0.91
South Korea,2029000000000.0,82.6,94.3,620302.0,51709098.0,2.7,2.36
Spain,1394116310769.0,83.3,88.9,244002.0,47076781.0,2.5,3.87
Sri Lanka,84008783756.0,76.8,19.6,23362.0,21803000.0,6.4,1.0
